longitude, latitude, index
12.47362,41.91116,0
12.4735,41.91111,0
12.47306,41.91099,0
12.473,41.91108,0
12.47266,41.91184,0
12.47263,41.91196,0
12.47262,41.91225,0
12.47263,41.91228,0
12.4726,41.91238,0
12.47256,41.91245,0
12.47252,41.91255,0
12.47248,41.91263,0
12.47247,41.91268,0
12.47234,41.91303,0
12.47231,41.91306,0
12.47228,41.9131,0
12.47226,41.91311,0
12.47212,41.91323,0
12.47209,41.91325,0
12.47181,41.91403,0
12.47181,41.91404,0
12.47176,41.91418,0
12.4717,41.9143,0
12.47161,41.91452,0
12.4716,41.91457,0
12.4712,41.91449,0
12.47022,41.91436,0
12.46999,41.91434,0
12.4697,41.91429,0
12.46971,41.91422,0
12.46949,41.91403,0
12.46936,41.91397,0
12.46846,41.91369,0
12.46103,41.91185,0
12.4609,41.91183,0
12.45815,41.91116,0
12.45775,41.91112,0
12.45666,41.91083,0
12.45226,41.90977,0
